"","pandri1","pandri2","pandri5","pandri7","pandri10"
"339","ENSG00000255794","ENSG00000254389",NA,NA,NA
"340","ENSG00000256116","ENSG00000257379",NA,NA,NA
"341","ENSG00000257176","ENSG00000259248",NA,NA,NA
"342","ENSG00000258811","ENSG00000259495",NA,NA,NA
"343","ENSG00000258957","ENSG00000259974",NA,NA,NA
"344","ENSG00000259498","ENSG00000261094",NA,NA,NA
"345","ENSG00000259642","ENSG00000261269",NA,NA,NA
"346","ENSG00000259768","ENSG00000264772",NA,NA,NA
"347","ENSG00000259994","ENSG00000269397",NA,NA,NA
"348","ENSG00000260063","ENSG00000272267",NA,NA,NA
"349","ENSG00000260686","ENSG00000273142",NA,NA,NA
"350","ENSG00000260743","ENSG00000273301",NA,NA,NA
"351","ENSG00000260852","ENSG00000276672",NA,NA,NA
"352","ENSG00000261026","ENSG00000163597",NA,NA,NA
"353","ENSG00000261067","ENSG00000188242",NA,NA,NA
"354","ENSG00000261087","ENSG00000196810",NA,NA,NA
"355","ENSG00000261159","ENSG00000212978",NA,NA,NA
"356","ENSG00000261188","ENSG00000215386",NA,NA,NA
"357","ENSG00000261211","ENSG00000224116",NA,NA,NA
"358","ENSG00000261777","ENSG00000226200",NA,NA,NA
"359","ENSG00000263276","ENSG00000233016",NA,NA,NA
"360","ENSG00000267053","ENSG00000239219",NA,NA,NA
"361","ENSG00000267106","ENSG00000240859",NA,NA,NA
"362","ENSG00000267288","ENSG00000241684",NA,NA,NA
"363","ENSG00000268713","ENSG00000241860",NA,NA,NA
"364","ENSG00000269821","ENSG00000242125",NA,NA,NA
"365","ENSG00000272077","ENSG00000245750",NA,NA,NA
"366","ENSG00000272482","ENSG00000245904",NA,NA,NA
"367","ENSG00000272505","ENSG00000246339",NA,NA,NA
"368","ENSG00000272610","ENSG00000248092",NA,NA,NA
"369","ENSG00000273373","ENSG00000248323",NA,NA,NA
"370","ENSG00000274964","ENSG00000248429",NA,NA,NA
"371","ENSG00000275481","ENSG00000248858",NA,NA,NA
"372","ENSG00000276248","ENSG00000249673",NA,NA,NA
"373","ENSG00000276272","ENSG00000256546",NA,NA,NA
"374","ENSG00000276809","ENSG00000257167",NA,NA,NA
"375","ENSG00000278730","ENSG00000258301",NA,NA,NA
"376","ENSG00000177337","ENSG00000152931",NA,NA,NA
"377","ENSG00000177406","ENSG00000176593",NA,NA,NA
"378","ENSG00000182366","ENSG00000186019",NA,NA,NA
"379","ENSG00000185065","ENSG00000206567",NA,NA,NA
"380","ENSG00000187621","ENSG00000214049",NA,NA,NA
"381","ENSG00000189238","ENSG00000214145",NA,NA,NA
"382","ENSG00000196741","ENSG00000224660",NA,NA,NA
"383","ENSG00000197332","ENSG00000228315",NA,NA,NA
